[Script Info]
; Script generated by Aegisub 3.4.2
; http://www.aegisub.org/
ScriptType: v4.00+
PlayResX: 1440
PlayResY: 1080
WrapStyle: 2
YCbCr Matrix: TV.709

[Aegisub Project Garbage]
Audio File: [shincaps] Honzuki no Gekokujou ~Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen~ Ryoushu no Youjo - 08 (AT-X 1440x1080 MPEG2 AAC).ts
Video File: [shincaps] Honzuki no Gekokujou ~Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen~ Ryoushu no Youjo - 08 (AT-X 1440x1080 MPEG2 AAC).ts
Video AR Mode: 4
Video AR Value: 1.777778
Video Zoom Percent: 0.500000
Scroll Position: 72
Active Line: 2
Video Position: 1449

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,sans-serif,72,&H00FFFFFF,&H00FFFFFF,&H00000000,&H00000000,0,0,0,0,100,100,0,0,4,0,8,2,15,15,20,0

[Events]
Format: Layer, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:00:34.43,9:59:59.99,Default,,0,0,0,,＜四人の子供を ハッセの小神殿で➡
Dialogue: 0,0:00:36.44,9:59:59.99,Default,,0,0,0,,引き取ることになった ロｰゼマイン｡
Dialogue: 0,0:00:38.44,9:59:59.99,Default,,0,0,0,,しかし 貴族に売る予定の
Dialogue: 0,0:00:38.44,9:59:59.99,Default,,0,0,0,,子供を奪われた➡
Dialogue: 0,0:00:42.11,9:59:59.99,Default,,0,0,0,,ハッセの町長は➡
Dialogue: 0,0:00:44.11,0:00:48.51,Default,,0,0,0,,ロｰゼマインを快く思っていなかった＞
Dialogue: 0,0:00:50.45,9:59:59.99,Default,,0,0,0,,(フェルディナンド)ハッセで
Dialogue: 0,0:00:50.45,9:59:59.99,Default,,0,0,0,,随分な対応を受けた｡
Dialogue: 0,0:00:52.95,9:59:59.99,Default,,0,0,0,,知っていたな ベンノ｡
Dialogue: 0,0:00:55.96,0:01:00.46,Default,,0,0,0,,(ベンノ)ええ｡ ハッセの町だからこその
Dialogue: 0,0:00:55.96,0:01:00.46,Default,,0,0,0,,対応でしょう｡
Dialogue: 0,0:02:58.44,9:59:59.99,Default,,0,0,0,,あの一帯における
Dialogue: 0,0:02:58.44,9:59:59.99,Default,,0,0,0,,ハッセの町長の影響力は➡
Dialogue: 0,0:03:01.95,9:59:59.99,Default,,0,0,0,,相当なものです｡
Dialogue: 0,0:03:03.95,9:59:59.99,Default,,0,0,0,,＜ロｰゼマイン:エｰレンフェスト領内は➡
Dialogue: 0,0:03:05.95,9:59:59.99,Default,,0,0,0,,土地持ちの貴族
Dialogue: 0,0:03:05.95,9:59:59.99,Default,,0,0,0,,ギｰベが管理する土地と➡
Dialogue: 0,0:03:09.12,0:03:12.32,Default,,0,0,0,,アウブが直接治める
Dialogue: 0,0:03:09.12,0:03:12.32,Default,,0,0,0,,直轄地とに分かれている＞
Dialogue: 0,0:03:14.29,9:59:59.99,Default,,0,0,0,,＜ハッセは直轄地のひとつで➡
Dialogue: 0,0:03:16.30,9:59:59.99,Default,,0,0,0,,周辺の農村の管理を
Dialogue: 0,0:03:16.30,9:59:59.99,Default,,0,0,0,,任されている＞
Dialogue: 0,0:03:19.63,9:59:59.99,Default,,0,0,0,,ハッセでは 冬を越すために➡
Dialogue: 0,0:03:22.14,9:59:59.99,Default,,0,0,0,,大勢の人間が
Dialogue: 0,0:03:22.14,9:59:59.99,Default,,0,0,0,,冬の館に集まります｡
Dialogue: 0,0:03:26.31,9:59:59.99,Default,,0,0,0,,そこで 采配を振るうのが
Dialogue: 0,0:03:26.31,9:59:59.99,Default,,0,0,0,,あの町長です｡
Dialogue: 0,0:03:31.48,9:59:59.99,Default,,0,0,0,,それだけで あそこまで
Dialogue: 0,0:03:31.48,9:59:59.99,Default,,0,0,0,,増長するとは思えぬ｡
Dialogue: 0,0:03:35.25,9:59:59.99,Default,,0,0,0,,(フェルディナンド)どのような貴族の
Dialogue: 0,0:03:35.25,9:59:59.99,Default,,0,0,0,,後ろ盾があるのか➡
Dialogue: 0,0:03:38.59,9:59:59.99,Default,,0,0,0,,私が知りたいのは それだ｡
Dialogue: 0,0:03:40.59,9:59:59.99,Default,,0,0,0,,領地事業の関係者である
Dialogue: 0,0:03:40.59,9:59:59.99,Default,,0,0,0,,私たちが➡
Dialogue: 0,0:03:43.26,9:59:59.99,Default,,0,0,0,,視察へ訪れた時の
Dialogue: 0,0:03:43.26,9:59:59.99,Default,,0,0,0,,態度から見て➡
Dialogue: 0,0:03:46.59,9:59:59.99,Default,,0,0,0,,かなり位の高い貴族と
Dialogue: 0,0:03:46.59,9:59:59.99,Default,,0,0,0,,繋がりがあるようです｡
Dialogue: 0,0:03:50.93,9:59:59.99,Default,,0,0,0,,ふむ｡ 確実なのは 前神殿長だな｡
Dialogue: 0,0:03:50.93,9:59:59.99,Default,,0,0,0,,(ロｰゼマイン)え…｡
Dialogue: 0,0:03:56.27,9:59:59.99,Default,,0,0,0,,(フェルディナンド)前神殿長は
Dialogue: 0,0:03:56.27,9:59:59.99,Default,,0,0,0,,騎獣を持っていない｡
Dialogue: 0,0:03:59.94,9:59:59.99,Default,,0,0,0,,動けるのは
Dialogue: 0,0:03:59.94,9:59:59.99,Default,,0,0,0,,馬車で行き来出来る範囲内だ｡
Dialogue: 0,0:04:03.94,9:59:59.99,Default,,0,0,0,,領主の叔父という
Dialogue: 0,0:04:03.94,9:59:59.99,Default,,0,0,0,,地位を振りかざし➡
Dialogue: 0,0:04:07.28,9:59:59.99,Default,,0,0,0,,やりたい放題していたに違いない｡
